Task_ID,Time_To_Complete,Deadline,Task_String
54,0.5837216123,2.976323163," Which of the following CORRECTLY describes the changes in neurotransmission which occur during Parkinson's disease?
Group of answer choices
Increased GABA signaling inhibits dopamine release from the substantia nigra
Increased dopamine signaling causes increased acetylcholine release and tremors
Decreased dopamine signaling allows unopposed acetylcholine activity in the striatum
Decreased dopamine signaling decreases GABA-ergic activity in the subthalamic nuclei
"
55,0.6309944972,16.32940005,Tell me all information u know about mechanical ventilation and nursing care on it
56,1.858770837,13.85832992,what you do a surgery to measure brain pressure or get your tonsils removed first?
57,1.317592179,12.39457294,"Pretend you are an intern at a mental health facility, and you have been given the task of using Erik Erikson's theory on psychosocial development and create a handout for the patients to read while they are in the waiting room. also add some tips on grief"
58,1.306102033,17.22318123,"42.\tParkinson's disease can be seen anatomically by a loss of dopamine production cells in the substantia Nigra. This leads to a decrease in dopamine input to the basal ganglia leading to decreased motor activation. The decreased dopamine leads to less inhibition of the ___ which causes increased inhibition of the thalamus
a.\tsubthalamic nucleus
b.\tglobus pallidus external segment
c.\tGlobus pallidus internal segment
d.\tsubstantia Nigra Niagara pars compacta
"
59,1.237466522,0.9332620501,describe the key findings from this article: https://pubmed.ncbi.nlm.nih.gov/548343/
60,0.5749700494,14.06600322,Write a research paper about comorbidity of ADHD and marijuana addiction in the united states. Write in apa 7th format including references for 2020 and newer
61,1.869744951,8.678541937,"write a paper about the effect that hemophilia has
on the human body and the parts involved"
62,0.5459123682,0.9009213334,what are the effects that hemophilia has on the circulatory system
63,0.5840305785,3.579798842,"rephrase: In attempts to standardize care across VA sites, the Jets team developed a Prosthetics and Sensory Aids Services (PSAS) order menu of commonly ordered prosthetic items that can each be ordered in a standardized way. "
64,1.924989958,13.22782874,does parkinsons start as the need to shake or shaking
65,0.9601862077,13.70054616,"in a chest xray, structures that are less dense appear black whereas more dense appear white. what is actually meant by dense in simple terms"
66,1.604673802,4.113337962,what is a ventricular ectopic?
67,0.9064080058,14.79404412,"I need to create a presentation geared towards pharmacists on hospice. It needs to be about 20 minutes long with anticipated 10 minutes of questions. The presentation will use powerpoint slides so I want you to create the material that I can transfer over to powerpoint. Separate the content that will go on each slide by a couple of spaces for ease. The slides will need a title slide, objectives and content slides. After the title and objective slides,  I want to stat off with a true or false question asking whether hospice is only for people who are imminently dying and use jimmy carter as an example. I then want to explain what hospice is and is not, who qualifies, and to compare it to palliative care. Explain the members of the hospice team. List the common problems that hospice patients experience such as oropharengeal secreations, dyspnea, pain, constipation, and delirium and agitation, then have each of those problems explained in further detail on their own respective slide that includes the background and common medications and the doses recommended to treat them. Then focus on how pain and dyspnea is treated in hospice patients. Talk about deprescribing in hospice care and which medications are commonly stopped and why. Make a slide talking about whether to keep or stop specialty medications. Finally talk about naloxones use in hospice care and whether it is appropriate or not appropriate to use and why. Create a patient case that includes a mix of what was presented about."
68,0.654563423,13.48691125,Common cold symptoms Vs Covid symptoms
69,0.9672368057,13.19839773,what are the clinical considerations for orthotic prescription of an AFO
70,0.6833664899,18.22619467,How long does it take for a 37 weeks old NICU baby to learn to take milk>
71,1.729398001,1.338335779,four criteria of binomial distribution
72,1.101112347,3.424570874,"Suppose a random variable X has an expected value (average) of 20, and a standard deviation of 5. Use Chebyshev’s inequality to find a lower bound on the probability that 13 < X < 27."
73,1.038788038,3.215862489,"im studying for a signals and systems exam on fourier series, fourier transforms, am pm and fm modulation, sampling, and related topics. work me through example problems in lots of detail. go into the math of it"
74,1.274996615,8.371534959,"Using integral calculus, find the area under the curve of the function f(x) = x^2 + 2x + 1 between x = 0 and x = 5."
75,0.4322411764,18.94531932,"Applying the logarithmic identity $ln\\left(\\frac{a}{b}\\right) = ln(a) - ln(b)$, we can rewrite $ln\\left(\\frac{1}{cos^2(x)}\\right)$ as $ln(1) - ln(cos^2(x))$. Since $ln(1) = 0$, this simplifies to $-ln(cos^2(x))$. rewrite this in latex to imply that we should factor out both sides by ln in order to get ln(1) from simplifing ln (a/b)"
76,1.262386741,10.26784088,A pennant for Hampton University has one side (call it a) that is 4.125 inches.  Side c is the other leg of a 24.814 degree angle (call it B) measures to be 4 inches.  What is the length of the third side of the pennant and the measurement of the other two angles?
77,0.3898667162,11.83153254,A rectangular prism with a length of 4 and a width of 5 is scaled by a factor of 3. Its resulting volume is 1620 units. What is the surface area of the scaled cube?
78,1.550435681,19.64013559,Explain how to use the formula n!/(n-k)! to find the number of ordered selections
79,1.885945289,3.956536574,What is cardinality?
80,1.644783772,15.4741335,Solve for x in the equation: 3x^2 - 12x + 9 = 0. Show your steps and reasoning.
81,1.448072026,1.047247297,"In the $xy$-plane, points $A(0,0)$, $B(4,3)$, and $C(1,7)$ form a triangle. Point $D(x,y)$ is chosen such that $\\triangle ADB \\cong \\triangle CDB$ by a reflection over a line through $B$. If the coordinates of $D$ minimize the distance $AD$, find the constant $k$ such that $y = kx$."
82,0.3225548335,8.47394465,5+10
83,1.246130367,2.922380351,i need 3 3-digit numbers where all digits are different and they are square number
84,1.571095566,17.36312414,Solve for x in the equation: 3x^2 - 12x + 9 = 0. Show your steps and reasoning.
85,0.3767302919,9.503176473,"Using integral calculus, find the area under the curve of the function f(x) = x^2 + 2x + 1 between x = 0 and x = 5."
86,0.6287541443,17.11800366,"Using integral calculus, find the area under the curve of the function f(x) = x^2 + 2x + 1 between x = 0 and x = 5."
87,1.768154126,15.72311246,"The mean value is -0.2775 and the standard error is 0.2739. N is 33. Conduct hypotheses tests to determine whether the mean v statistics calculated in part (ii) accord with monopoly (collusion), Cournot, or competitive (Bertrand) behavior. Show your calculations. [Hint: the critical t value for a 95% confidence level at this sample size is approximately 2.02.]"
88,1.863762639,7.376044152,"The Union Pacific (UP) Railroad and the Burlington Northern Santa Fe (BNSF) Railroad compete for the intermodal (containers on railcars) market between Los Angeles and Chicago. The market demand for transportation is given by:
P = 80 - Q where P is price per ton and Q the quantity of containers shipped in millions of tons. The railroads compete for this market using Cournot assumptions about each other. They each have a total cost curve given by:
TC = 2 + 16q - (1/8)q^2.   What is the equilibrium output of each railroad?"
89,0.32006695,12.25309286,Solve for x in the equation: 3x^2 - 12x + 9 = 0. Show your steps and reasoning.
90,1.489564574,13.46400463,Write a rap congratulating Trump on winning
91,1.856979875,7.399537347,"This piece was written as a for the two keyboards with imitative interplay between the two voices. It is relatively simple in style and written in ternary form, with each of the sections repeating once. This piece is included in the Fitzwilliam Virginal Book where 51 of Farnaby’s extant works are published. "
92,0.1185374881,17.57775355,write a Tom waits song
93,0.09164858334,2.524750927,"what key signature has three flats, and what is it's relative key?"
94,1.981079808,1.215294215,"who made the song \""like him\""?"
95,0.4724543536,6.635845473,I need a rock playlist to calm me down from political conflicts. I like alternative music from the 60s and 70s like Procol Harum.
96,1.14479128,16.17708697,tell me about the composer Karl Jenkins
97,1.966799867,2.20671347,What genre does Dancehall fall under
98,1.401551626,6.025786766,who is the better artist KSI or Drake
99,1.481364836,14.71602761,write a song about rock n rollin hip hop
100,0.5725248033,15.12616309,can you give me the best lyrics about the sun from songs by the band Greta Van Fleet?
